So‘z,Teg,Turkum
kitob,N,ot
qalam,N,ot
o‘quvchi,N,ot
maktab,N,ot
yaxshi,Adj,sifat
katta,Adj,sifat
chiroyli,Adj,sifat
o‘qimoq,V,fe’l
yozmoq,V,fe’l
o‘ynashmoq,V,fe’l
tez,Adv,ravish
sekin,Adv,ravish
yuqori,Adv,ravish
ikki,Num,son
uch,Num,son
to‘rt,Num,son
men,Pron,olmosh
sen,Pron,olmosh
u,Pron,olmosh
va,Conj,bog‘lovchi
yoki,Conj,bog‘lovchi
ammo,Conj,bog‘lovchi
bilan,Aux,ko‘makchi
uchun,Aux,ko‘makchi
oldida,Aux,ko‘makchi
-ku,Part,yuklama
-da,Part,yuklama
kerak,Mod,modal so‘zlar
mumkin,Mod,modal so‘zlar
shuv-shuv,Ono,taqlid so‘zlar
gup-gup,Ono,taqlid so‘zlar
oh,Int,undov so‘zlar
voy,Int,undov so‘zlar
qish,N,ot
yoz,N,ot
bahor,N,ot
kuz,N,ot
uy,N,ot
ko‘cha,N,ot
shahar,N,ot
daryo,N,ot
yurt,N,ot
avto,N,ot
manzil,N,ot
samarali,Adj,sifat
oz,Adj,sifat
ko‘p,Adj,sifat
avval,Adj,sifat
do‘stona,Adj,sifat
oshkora,Adj,sifat
qattiq,Adj,sifat
yumshoq,Adj,sifat
o‘zbekcha,Adj,sifat
ruscha,Adj,sifat
o‘rganmoq,V,fe’l
ta'lim,V,fe’l
chizishmoq,V,fe’l
mashg‘ulot,V,fe’l
boshlamoq,V,fe’l
tugamoq,V,fe’l
buyurmoq,V,fe’l
hisoblamoq,V,fe’l
hisoblanmoq,V,fe’l
ko‘tarilmoq,V,fe’l
yozilmoq,V,fe’l
charchamoq,V,fe’l
tozalamoq,V,fe’l
yozilmoq,V,fe’l
katta,Adj,sifat
bir,Num,son
besh,Num,son
yetti,Num,son
sakkiz,Num,son
o‘n,Num,son
yigirma,Num,son
bir yuz,Num,son
ming,Num,son
men,Pron,olmosh
biz,Pron,olmosh
u,Pron,olmosh
ular,Pron,olmosh
siz,Pron,olmosh
kimdir,Pron,olmosh
biror,Pron,olmosh
nima,Pron,olmosh
nega,Pron,olmosh
qanday,Pron,olmosh
qachon,Pron,olmosh
ha,Conj,bog‘lovchi
yo‘q,Conj,bog‘lovchi
lekin,Conj,bog‘lovchi
nega,Conj,bog‘lovchi
chunki,Conj,bog‘lovchi
ammo,Conj,bog‘lovchi
yoki,Conj,bog‘lovchi
va,Conj,bog‘lovchi
bilan,Aux,ko‘makchi
oldin,Aux,ko‘makchi
keyin,Aux,ko‘makchi
hozir,Aux,ko‘makchi
hali,Aux,ko‘makchi
doim,Aux,ko‘makchi
ba'zan,Aux,ko‘makchi
bo‘lmoq,Aux,ko‘makchi
yana,Aux,ko‘makchi
-ku,Part,yuklama
-da,Part,yuklama
-yoq,Part,yuklama
-a,Part,yuklama
-u,Part,yuklama
-chi,Part,yuklama
-ay,Part,yuklama
-yo,Part,yuklama
kerak,Mod,modal so‘zlar
mumkin,Mod,modal so‘zlar
lozim,Mod,modal so‘zlar
shart,Mod,modal so‘zlar
hohlamoq,Mod,modal so‘zlar
qaytarish,Mod,modal so‘zlar
bajarish,Mod,modal so‘zlar
kutish,Mod,modal so‘zlar
shuv-shuv,Ono,taqlid so‘zlar
gup-gup,Ono,taqlid so‘zlar
girgir,Ono,taqlid so‘zlar
dum-dum,Ono,taqlid so‘zlar
pish-pish,Ono,taqlid so‘zlar
g‘ir-g‘ir,Ono,taqlid so‘zlar
